Season ,Regulation change,Change influence,Change difference,competition increase
2007,"Tuned mass damper system banned,[61] rev-limit of 19,000 rpm introduced, rear wing structure strengthened to prevent flexing, increased strength required from rear crash structure, single tyre supplier (Bridgestone) after withdrawal of Michelin, revised tyre regulations mean drivers must use both hard and soft compound tyre during the course of race (soft compound tyres are identified by a white stripe in one of the front tyre grooves), engine development frozen until the end of 2008 to cut costs, further restrictions to regulations means no teams may run a 3rd car on Friday, both sessions on Friday extended to 90 minutes in length, engine changes on first day of practice no longer subject to grid place penalty, pit lane restrictions during any period the safety car is on the track, annual testing limited to 30,000 km to reduce costs",,,
2008,"Traction control banned for the second and final time by means of all teams using a standard electronic control unit (ECU) to eliminate the possibility of teams concealing the technology within their own engine management systems, strict limits placed on the amount of CFD and wind tunnel testing allowed each year",,,
2009,"Banning of almost all aerodynamic devices other than front and rear wing, slick tyres allowed once more (keeping to narrow track dimensions), the limit of eight race/qualifying engines for the whole season (every new engine above this eight results in 10-place grid penalty), rev-limit decreased to 18,000 rpm, reduction of rear wing width from 1000 mm to 750 mm and an increase in height from 800 mm to 950 mm, reduction in the ground clearance of front wing from 150 mm to 50 mm and an increase in width from 1400 mm to 1800 mm, rear diffuser to be longer and higher, variable front aerodynamic devices permitted (with limited in-car control by the driver) and the introduction of KERS (kinetic energy recovery system) to store some of the energy generated under braking and convert it into a temporary horsepower increase of around 80 bhp that can be used 6.6 seconds per lap by the drivers for overtaking.[63] Pit lane is no longer closed when safety car is deployed.",,,
2010,"Drastic cost-cutting measures are introduced. In-race refuelling ban returns,[64] as a result fuel can be added to any F1 car after qualifying, but Q3 drivers must start the race with the tyres they set their fastest Q2 time with. The same 8 engine limit is maintained despite the increase to 19 races over the course of the season[64] (with a rev limiter set at 18,000 rpm to assist in this),[64] front tyre width reduced from 270 mm (11 in) to 245 mm (9.6 in), a ban on testing during the season as well as an agreement with teams about reducing the number of staff employed. 3 new teams mean 7 drivers are now dropped from Q1 and Q2. Scoring system changed to allow the first ten cars to receive points: 25, 18, 15, 12, 10, 8, 6, 4, 2, 1. Backmarkers no longer able to unlap themselves behind the Safety Car. Teams unanimously agree not to use KERS for the 2010 season in order to allow all teams time to be able to develop and perfect their own systems.",,,
2011,,,,
2012,,,,
2013,,,,
2014,"New car formula of turbocharged V6 engines with 1600cc capacity and 8-speed gearbox introduced,[78] which must now last at least 4,000 km (2,500 mi) before being replaced[79] and have the KERS (now known as ERS-K) integrated into it.[80] New penalty points system introduced, teams must nominate eight gear ratios ahead of the first race, rear beam wings and false camera mountings banned, in-season testing returns, car nose further reprofiled. A new car number system where the driver is able to choose their own numbers for the duration of their career is also adopted. Double points awarded for the final race of the season.",,,
2015,,,,
2016,,,,
2017,"Car width increased from 1800 mm to 2000 mm (reversing 1998 change). Front tyre width increased from 245 mm to 305 mm; rear tyre width increased from 325 mm to 405 mm.[81] Car minimum weight increased to 728 kg (1,605 lb), front wings made wider at 1,800 mm (70.9 in). Teams restricted to four engines per year irrespective of number of races, engine token system abandoned, power unit suppliers now obliged to supply any team without any power unit contract. Shark fins are brought back and T-wings introduced through loophole. Barge board sizes also increased.",,,
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,"he 2022 car has two long underfloor tunnels which create a 'ground effect', 18-inch tyres with wheel winglets., introduction to engine freeze, aerodynamic changes to decrease downforce and allow closer competition",,,
